Student ID,Age,Gender,Graduated high-school type,Scholarship type,Additional work,Regular artistic or sports activity,Total salary if available,Transportation to the university,Accommodation type in Cyprus,Mothers' education,Fathers' education,Number of sisters/brothers,Parental status,Mothers' occupation,Fathers' occupation,Weekly study hours,Reading frequency (non-scientific books/journals),Reading frequency (scientific books/journals),Attendance to the seminars/conferences related to the department,Impact of your projects/activities on your success,Attendance to classes,Preparation to midterm exams 1,Preparation to midterm exams 2,Taking notes in classes,Listening in classes,Discussion improves my interest and success in the course,Flip-classroom,Cumulative grade point average in the last semester (/4.00),Expected Cumulative grade point average in the graduation (/4.00),Course ID,OUTPUT Grade
1,1,1,2,5,1,1,1,1,4,1,1,1,1,4,1,1,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
2,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
3,1,1,2,3,2,2,1,2,2,4,4,1,1,3,2,2,2,2,1,1,1,1,1,2,3,2,2,1,1,7,3.0
4,1,1,2,5,1,1,1,2,3,1,1,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,0.0
5,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,0.0
6,1,1,2,5,1,1,1,1,4,1,1,1,1,5,1,1,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
7,1,1,2,5,1,1,1,2,4,1,1,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,0.0
8,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,1.0
9,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
10,1,1,2,5,1,1,1,1,4,1,1,1,1,5,1,1,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
11,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
12,2,1,2,4,1,1,2,2,3,3,2,2,1,3,3,3,2,2,2,2,1,2,1,2,2,2,2,2,3,7,2.0
13,1,1,1,5,2,1,1,2,2,4,3,1,1,3,2,4,1,3,2,1,1,1,2,3,2,3,1,5,3,9,4.0
14,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
15,1,1,2,5,1,1,1,1,4,1,1,1,1,5,1,1,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
16,2,2,2,3,2,2,2,4,2,4,4,2,2,1,5,2,2,2,1,1,2,1,1,2,2,2,1,2,3,8,2.0
17,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
18,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,3,2,1,2,3,7,1.0
19,2,2,2,4,2,2,1,4,2,3,3,2,1,4,1,2,2,2,1,1,1,1,1,3,2,3,2,5,4,5,5.0
20,1,1,2,5,1,1,1,1,4,1,1,1,1,5,1,1,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
21,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
22,1,2,2,4,2,2,2,1,3,2,3,1,1,2,4,2,2,2,1,1,1,1,1,3,3,2,1,2,3,7,7.0
23,2,2,2,3,2,2,2,4,2,2,2,2,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2,2,1,1.0
24,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,2,1,1,2,3,8,1.0
25,1,2,2,4,2,1,1,1,1,4,3,1,2,4,2,2,2,2,1,1,1,1,1,2,2,3,1,5,4,3,7.0
26,1,1,2,5,1,1,1,2,4,1,1,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,1.0
27,3,2,2,3,1,2,4,1,2,1,1,5,3,2,1,1,2,2,1,1,1,3,3,1,3,3,3,5,4,1,3.0
28,2,2,2,4,2,2,2,1,1,1,3,3,1,2,1,1,1,2,1,1,1,3,1,2,2,2,1,3,3,1,5.0
29,1,1,2,5,1,1,1,2,4,1,1,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,0.0
30,2,2,3,4,2,2,1,4,2,3,3,2,1,4,1,2,2,2,1,1,1,1,1,3,2,2,2,4,3,1,5.0
31,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,3,2,3,2,1,1,1,1,3,3,1,1,1,3,9,0.0
32,2,1,2,3,2,1,1,2,3,3,3,1,1,4,2,2,2,2,1,1,1,1,1,2,3,2,3,4,2,6,6.0
